72.2,4.05
72.3,4.01
72.4,3.97
72.5,3.93
72.6,3.89
72.7,3.84
72.8,3.8
72.9,3.76
73,3.72
73.1,3.68
73.2,3.64
73.3,3.6
73.4,3.56
73.5,3.53
73.6,3.49
73.7,3.45
73.8,3.41
73.9,3.37
74,3.34
74.1,3.3
74.2,3.26
74.3,3.23
74.4,3.19
74.5,3.16
74.6,3.12
74.7,3.09
74.8,3.05
74.9,3.02
75,2.98
75.1,2.95
75.2,2.92
75.3,2.88
75.4,2.85
75.5,2.82
75.6,2.79
75.7,2.75
75.8,2.72
75.9,2.69
76,2.66
76.1,2.63
76.2,2.6
76.3,2.57
76.4,2.54
76.5,2.51
76.6,2.48
76.7,2.45
76.8,2.43
76.9,2.4
77,2.37
77.1,2.34
77.2,2.31
77.3,2.29
77.4,2.26
77.5,2.24
77.6,2.21
77.7,2.18
77.8,2.16
77.9,2.13
78,2.11
78.1,2.09
78.2,2.06
78.3,2.04
78.4,2.01
78.5,1.99
78.6,1.97
78.7,1.95
78.8,1.92
78.9,1.9
79,1.88
79.1,1.86
79.2,1.84
79.3,1.82
79.4,1.8
79.5,1.78
79.6,1.76
79.7,1.74
79.8,1.72
79.9,1.7
80,1.69
80.1,1.67
80.2,1.65
80.3,1.63
80.4,1.62
80.5,1.6
80.6,1.58
80.7,1.57
80.8,1.55
80.9,1.54
81,1.52
81.1,1.51
81.2,1.49
81.3,1.48
81.4,1.46
81.5,1.45
81.6,1.44
81.7,1.42
81.8,1.41
81.9,1.4
82,1.39
82.1,1.37
82.2,1.36
82.3,1.35
82.4,1.34
82.5,1.33
82.6,1.32
82.7,1.31
82.8,1.3
82.9,1.29
83,1.28
83.1,1.28
83.2,1.27
83.3,1.26
83.4,1.25
83.5,1.24
83.6,1.24
83.7,1.23
83.8,1.22
83.9,1.22
84,1.21
84.1,1.21
84.2,1.2
84.3,1.2
84.4,1.19
84.5,1.19
84.6,1.18
84.7,1.18
84.8,1.18
84.9,1.18
85,1.17
